condition,exercise,description
Tennis elbow,Wrist extensor stretch,"Extend one arm in front, palm down. Use the other hand to gently pull the fingers back. Hold for 15 seconds, switch sides."
Tennis elbow,Forearm pronation and supination,"Hold a light weight, rest your forearm on a table with wrist hanging off. Rotate your wrist to turn palm up and down. Repeat 10 times."
Tennis elbow,Wrist flexor stretch,"Extend one arm in front, palm up. Use the other hand to gently pull the fingers back. Hold for 15 seconds, switch sides."
Tennis elbow,Finger extensions,"Place a rubber band around your fingers, spread them apart against the resistance. Repeat 10 times."
Tennis elbow,Eccentric wrist extensions,"Hold a light weight, rest your forearm on a table with wrist hanging off. Lower the weight slowly, then use the other hand to lift it back. Repeat 10 times."
Tennis elbow,Towel twist,"Hold a towel with both hands, twist it as if wringing out water. Repeat 10 times in each direction."
Plantar fasciitis,Plantar fascia stretch,"Sit with one leg crossed over the other. Pull your toes back towards your shin. Hold for 30 seconds, then switch feet."
Plantar fasciitis,Toe curls,Place a towel on the floor. Use your toes to scrunch the towel towards you. Repeat for 1 minute per foot.
Plantar fasciitis,Calf stretch,"Stand facing a wall, place one foot behind you with heel on the ground. Lean forward to stretch the calf. Hold for 30 seconds, switch legs."
Plantar fasciitis,Achilles tendon stretch,"Stand on a step with heels hanging off. Lower heels below the step level. Hold for 15 seconds, repeat 5 times."
Plantar fasciitis,Marble pickups,"Place marbles on the floor, use your toes to pick them up and place them in a bowl. Repeat for 1 minute."
Plantar fasciitis,Towel stretch,"Sit with legs extended, loop a towel around your foot. Pull the towel towards you, stretching the foot. Hold for 30 seconds, switch feet."
Rotator cuff injury,External rotation with band,"Hold a resistance band with elbows at 90 degrees. Rotate your forearms outward, keeping elbows tucked. Repeat 10 times."
Rotator cuff injury,Scapular squeeze,"Sit or stand with arms at your sides. Squeeze your shoulder blades together. Hold for 5 seconds, repeat 15 times."
Rotator cuff injury,Internal rotation with band,"Hold a resistance band with elbows at 90 degrees. Rotate your forearms inward, keeping elbows tucked. Repeat 10 times."
Rotator cuff injury,Sleeper stretch,Lie on your side with affected arm at 90 degrees. Use the other hand to gently push the forearm down. Hold for 15 seconds.
Rotator cuff injury,Cross-body stretch,"Bring one arm across your body, use the other hand to pull it closer. Hold for 15 seconds, switch sides."
Rotator cuff injury,Pendulum exercise,"Lean forward with one arm hanging down. Gently swing the arm in small circles. Perform for 1 minute, then switch arms."
Hip bursitis,Clamshell exercise,"Lie on your side with knees bent. Keeping feet together, lift the top knee. Repeat 15 times per side."
Hip bursitis,Hip abduction,"Stand with feet shoulder-width apart. Lift one leg to the side, then lower. Repeat 10 times per leg."
Hip bursitis,Hip bridges,"Lie on your back with knees bent. Lift your hips off the floor, forming a straight line from knees to shoulders. Hold for 5 seconds, repeat 10 times."
Hip bursitis,Side-lying leg lifts,"Lie on your side, lift the top leg straight up, then lower. Repeat 15 times per side."
Hip bursitis,Standing hip flexion,"Stand with feet shoulder-width apart. Lift one knee towards your chest, then lower. Repeat 10 times per leg."
Hip bursitis,Iliotibial band stretch,"Stand with one leg crossed over the other. Lean to the side away from the crossed leg. Hold for 30 seconds, switch sides."
